PlantClassID,PlantId,ClassCode,ClassName,ClassDescription,ClassIdentification
1,1,healthy,Plant en santé,"Un plant de tomate en santé n'est pas affecté par des maladies ou des problèmes. Son origine est une culture dans des conditions optimales avec un bon équilibre en nutriments, une exposition adéquate au soleil et une absence d'agents pathogènes ou de ravageurs significatifs.","Un plant sain présente des feuilles vertes et turgescentes, une croissance régulière et vigoureuse, une absence de taches, de décoloration ou de déformation des feuilles, des tiges et des fruits. Il ne montre aucun signe de flétrissement inexpliqué."
2,1,early_blight,Alternariose,"L'alternariose, ou brûlure hâtive, est causée par des champignons du genre *Alternaria*, souvent *Alternaria solani*. Ces champignons sont présents dans le sol et sur les débris végétaux, et se développent particulièrement par temps chaud et humide. Les spores peuvent être dispersées par le vent, la pluie ou les outils de jardinage.","L'alternariose se reconnaît par l'apparition de petites taches circulaires brunes à noires sur les feuilles inférieures, souvent avec des cercles concentriques distinctifs en forme de cible. Les feuilles affectées jaunissent progressivement et peuvent tomber. Des lésions similaires peuvent également apparaître sur les tiges et les fruits, débutant généralement au niveau du calice."
3,1,late_blight,Mildiou de la tomate,"Le mildiou de la tomate est causé par l'oomycète *Phytophthora infestans*, le même agent pathogène responsable du mildiou de la pomme de terre. Il se propage rapidement par temps frais et humide, avec des spores transportées par le vent et la pluie. Des conditions de forte humidité et de températures modérées favorisent son développement et sa dissémination.","Le mildiou se manifeste par des taches irrégulières vert pâle à grisâtres sur la face supérieure des feuilles, qui s'étendent rapidement. Un signe distinctif est la présence d'un feutrage blanc et duveteux sur la face inférieure des feuilles, surtout visible par temps humide. Les tiges et les fruits peuvent également être affectés par des taches brunes et molles."
4,1,leaf_miner,Mineuse sud-américaine de la tomate,"La mineuse sud-américaine de la tomate (*Tuta absoluta*) est un petit papillon dont les larves creusent des galeries dans les feuilles, les tiges et les fruits de la tomate. Originaire d'Amérique du Sud, elle s'est propagée dans de nombreuses régions du monde. Les femelles pondent leurs œufs sur les parties aériennes de la plante, et les larves éclosent pour commencer à se nourrir et à creuser leurs galeries.","L'identification de la mineuse se fait par l'observation de galeries sinueuses et irrégulières à l'intérieur des feuilles. On peut parfois apercevoir les petites larves jaunâtres à l'extrémité de ces galeries. Des petits trous noirs peuvent être visibles sur les fruits, indiquant les points d'entrée des larves. Les feuilles gravement atteintes peuvent se dessécher et se recroqueviller."
5,1,nutrient_deficiency,Carence en nutriments,"Les carences en nutriments surviennent lorsque le plant de tomate ne reçoit pas suffisamment d'éléments essentiels comme l'azote, le phosphore, le potassium, ou d'autres oligo-éléments présents dans le sol. Cela peut être dû à un sol pauvre, à un déséquilibre dans la fertilisation, à un pH du sol inapproprié qui empêche l'absorption des nutriments, ou à une compétition avec d'autres plantes.","Les symptômes varient considérablement en fonction du nutriment manquant. Un jaunissement général des feuilles peut indiquer une carence en azote, tandis qu'une coloration pourpre des feuilles inférieures peut suggérer un manque de phosphore. Des bords de feuilles jaunissants ou brunissants peuvent être le signe d'une carence en potassium. D'autres symptômes incluent un retard de croissance, une floraison ou une fructification réduite."
6,1,mosaic_virus,Virus de la mosaïque de la tomate,"Le virus de la mosaïque de la tomate (ToMV) est un virus très répandu qui peut infecter les plants de tomate. Il peut être transmis par contact mécanique (par exemple, lors de la manipulation des plants), par les graines infectées, ou par certains insectes comme les pucerons. Le virus persiste dans les débris végétaux et peut se propager facilement dans un jardin ou une serre.","L'infection par le virus de la mosaïque se manifeste par l'apparition de motifs irréguliers en mosaïque de couleur vert clair et vert foncé sur les feuilles. Les feuilles peuvent également être déformées, cloquées, ondulées ou présenter des excroissances filiformes. La croissance de la plante peut être ralentie, et les fruits peuvent être plus petits, déformés ou présenter des taches."
7,1,septoria_leaf_spot,Taches sur les feuilles causées par la Septoria,"Les taches sur les feuilles causées par la Septoria sont une maladie fongique provoquée par le champignon *Septoria lycopersici*. Les spores de ce champignon peuvent survivre dans le sol et sur les débris végétaux infectés. La maladie se développe particulièrement par temps chaud et humide, et les spores sont souvent dispersées par les éclaboussures d'eau lors de l'arrosage ou de la pluie.","La septoriose se reconnaît par l'apparition de petites taches circulaires sur les feuilles, généralement de couleur grise ou brune avec un centre plus clair. Un signe distinctif est la présence de petits points noirs au centre des taches (les pycnides du champignon). Les symptômes commencent généralement sur les feuilles inférieures et progressent vers le haut de la plante. Les feuilles gravement atteintes jaunissent et finissent par tomber."
8,1,verticillium_wilt,Verticilliose,"La verticilliose est une maladie fongique du sol causée par les champignons *Verticillium dahliae* ou *Verticillium albo-atrum*. Ces champignons peuvent persister dans le sol pendant de nombreuses années sous forme de microsclérotes. Ils pénètrent dans les racines de la plante et se propagent dans le système vasculaire, bloquant ainsi l'absorption de l'eau et des nutriments.","Les symptômes de la verticilliose commencent souvent par un jaunissement des feuilles inférieures, parfois limité à un seul côté de la feuille ou d'une branche. Les feuilles affectées peuvent ensuite se flétrir pendant les heures chaudes de la journée, même si le sol est humide, et se rétablir la nuit. Une coupe transversale de la tige près de la base peut révéler une décoloration brune des tissus vasculaires."
9,1,yellow_leaf_curl_virus,Virus des feuilles jaunes en cuillère de la tomate,"Le virus des feuilles jaunes en cuillère de la tomate (TYLCV) est un virus transmis principalement par les aleurodes (*Bemisia tabaci*). Les aleurodes se nourrissent de la sève des plantes infectées et transmettent le virus aux plantes saines lors de leurs piqûres. L'introduction et la propagation du virus sont donc fortement liées à la présence et à la population de ces insectes vecteurs.","L'infection par le TYLCV se manifeste par un enroulement caractéristique des jeunes feuilles vers le haut, leur donnant une forme de cuillère. Les feuilles peuvent également devenir épaisses, cassantes et présenter une coloration jaune. La croissance de la plante est souvent sévèrement ralentie, et la production de fleurs et de fruits est fortement réduite, voire inexistante."
10,3,healthy,Plant en santé,"Un plant de patate sain présente des tiges robustes et dressées avec un feuillage vert luxuriant et uniforme. Son développement est régulier et il ne montre aucun signe de stress, de maladie ou d'attaque de ravageurs. La croissance est conforme aux attentes pour son stade de développement.","Un plant de patate sain a des feuilles vertes sans taches ni décolorations anormales. Les tiges sont vigoureuses et ne présentent pas de lésions. La plante a une croissance équilibrée et ne montre aucun signe de flétrissement ou de déformation."
11,3,early_blight,Alternariose de la patate,"L'alternariose de la patate, également appelée brûlure hâtive, est causée par les champignons *Alternaria solani* ou *Alternaria alternata*. Ces champignons sont souvent présents dans le sol et sur les débris végétaux, et leur développement est favorisé par des périodes de temps chaud et humide, alternant avec des périodes sèches. Les spores peuvent être dispersées par le vent, la pluie et les activités humaines.","L'alternariose se manifeste sur les feuilles par l'apparition de petites taches sombres, souvent brunes à noires, avec des anneaux concentriques caractéristiques (aspect de cible). Ces taches commencent généralement sur les feuilles inférieures et peuvent s'étendre et se multiplier, entraînant le jaunissement et le dessèchement des feuilles. Des lésions similaires peuvent également apparaître sur les tiges."
12,3,late_blight,Mildiou de la patate,"Le mildiou de la patate est une maladie dévastatrice causée par l'oomycète *Phytophthora infestans*. Cet agent pathogène se développe rapidement par temps frais et humide, avec des températures autour de 15-20°C et une humidité élevée. Les spores peuvent être transportées sur de longues distances par le vent et la pluie, ce qui favorise une propagation rapide de la maladie.","Le mildiou se reconnaît par l'apparition de taches irrégulières vert pâle à brunâtres sur les feuilles, souvent entourées d'un halo vert clair. Par temps humide, un feutrage blanc et duveteux apparaît sur la face inférieure des feuilles, au niveau des taches. Les tiges peuvent également être affectées par des lésions brunes et molles, et les tubercules peuvent développer une pourriture sèche et brunâtre."
13,2,healthy,Plant en santé,"Un plant de maïs sain présente une tige droite et robuste, avec des feuilles longues et vertes disposées en alternance. Sa croissance est vigoureuse et uniforme, sans signes de stress ou de dommages. Le développement du panicule et des épis se fait de manière normale pour le stade de croissance.","Un plant de maïs sain a des feuilles d'un vert uniforme, sans taches ni décolorations. La tige est forte et non tordue. La croissance est régulière et la plante ne montre aucun signe de flétrissement ou de malformation."
14,2,leaf_spot,Maladie des taches grise du maïs,"La maladie des taches grises du maïs est causée par le champignon *Cercospora zeae-maydis*. Ce champignon survit dans les résidus de culture de maïs à la surface du sol. La maladie se développe particulièrement par temps chaud et humide, avec une humidité relative élevée et une température entre 20 et 30°C. Les spores sont dispersées par le vent et les éclaboussures de pluie.","La maladie se manifeste par des taches allongées, étroites et rectangulaires sur les feuilles, de couleur grise à beige, souvent délimitées par les nervures des feuilles. Ces taches peuvent mesurer de quelques millimètres à plusieurs centimètres de long. Elles apparaissent généralement sur les feuilles inférieures et progressent vers le haut de la plante. En cas d'infection sévère, les taches peuvent coalescer et entraîner le dessèchement des feuilles."
15,2,leaf_blight,Brûlure septentrionale du maïs,"La brûlure septentrionale du maïs est causée par le champignon *Exserohilum turcicum* (anciennement *Helminthosporium turcicum*). Ce champignon hiverne dans les résidus de culture de maïs et sur certaines graminées sauvages. La maladie est favorisée par des températures modérées (18-27°C) et une humidité élevée. Les spores sont dispersées par le vent et la pluie.","La brûlure septentrionale se caractérise par des lésions allongées, en forme de cigare, de couleur grise à brun clair, sur les feuilles. Ces lésions peuvent atteindre plusieurs centimètres de long et sont généralement plus larges au centre et effilées aux extrémités. Elles apparaissent d'abord sur les feuilles inférieures et progressent vers le haut de la plante. Par temps humide, une sporulation noire peut être visible au centre des lésions."
16,2,streak_virus,Virus de la striure du maïs,"Le virus de la striure du maïs (Maize streak virus - MSV) est un virus transmis par des cicadelles, principalement de l'espèce *Cicadulina mbila*. Les cicadelles acquièrent le virus en se nourrissant de plants infectés et le transmettent ensuite à des plants sains. La propagation de la maladie est donc directement liée à la présence et à l'activité des cicadelles vectrices.","Le symptôme le plus caractéristique est l'apparition de fines stries ou lignes discontinues de couleur jaune ou vert pâle le long des nervures des feuilles. Ces stries peuvent être parallèles ou entrecroisées et sont visibles sur les jeunes feuilles en croissance. Dans les cas d'infection précoce, la croissance de la plante peut être sévèrement réduite, et les épis peuvent être petits ou mal formés."
17,2,common_rust,Rouille commune du maïs,"La rouille commune du maïs est causée par le champignon *Puccinia sorghi*. Ce champignon a un cycle de vie complexe qui peut impliquer un hôte alternatif (l'oxalis), mais sur le maïs, il se manifeste par la formation de pustules sur les feuilles. La maladie est favorisée par des températures modérées (16-24°C) et une humidité élevée. Les spores sont dispersées par le vent.","La rouille commune se reconnaît facilement par la présence de petites pustules (sortes de boursouflures) de couleur rouille à brun-rougeâtre sur les deux faces des feuilles, ainsi que sur les gaines foliaires et parfois les spathes. Ces pustules sont remplies de spores du champignon. En fin de saison, des pustules noires (téleutospores) peuvent également apparaître."